"Year","StockName","SeriesLabel","Values"
1983,"Atnarko Wild","MR Wild Adult Esc",NA
1984,"Atnarko Wild","Calib. Wild Adult Esc",NA
1984,"Atnarko Wild","MR Wild Adult Esc",NA
1985,"Atnarko Wild","Calib. Wild Adult Esc",NA
1985,"Atnarko Wild","MR Wild Adult Esc",NA
1986,"Atnarko Wild","Calib. Wild Adult Esc",NA
1986,"Atnarko Wild","MR Wild Adult Esc",NA
1987,"Atnarko Wild","Calib. Wild Adult Esc",NA
1987,"Atnarko Wild","MR Wild Adult Esc",NA
1988,"Atnarko Wild","Calib. Wild Adult Esc",NA
1988,"Atnarko Wild","MR Wild Adult Esc",NA
1989,"Atnarko Wild","Calib. Wild Adult Esc",NA
1989,"Atnarko Wild","MR Wild Adult Esc",NA
1990,"Atnarko Wild","Calib. Wild Adult Esc",11630
1990,"Atnarko Wild","MR Wild Adult Esc",NA
1991,"Atnarko Wild","Calib. Wild Adult Esc",8952
1991,"Atnarko Wild","MR Wild Adult Esc",NA
1992,"Atnarko Wild","Calib. Wild Adult Esc",22015
1992,"Atnarko Wild","MR Wild Adult Esc",NA
1993,"Atnarko Wild","Calib. Wild Adult Esc",20961
1993,"Atnarko Wild","MR Wild Adult Esc",NA
1994,"Atnarko Wild","Calib. Wild Adult Esc",12257
1994,"Atnarko Wild","MR Wild Adult Esc",NA
1995,"Atnarko Wild","Calib. Wild Adult Esc",8150
1995,"Atnarko Wild","MR Wild Adult Esc",NA
1996,"Atnarko Wild","Calib. Wild Adult Esc",5962
1996,"Atnarko Wild","MR Wild Adult Esc",NA
1997,"Atnarko Wild","Calib. Wild Adult Esc",4013
1997,"Atnarko Wild","MR Wild Adult Esc",NA
1998,"Atnarko Wild","Calib. Wild Adult Esc",6094
1998,"Atnarko Wild","MR Wild Adult Esc",NA
1999,"Atnarko Wild","Calib. Wild Adult Esc",7199
1999,"Atnarko Wild","MR Wild Adult Esc",NA
2000,"Atnarko Wild","Calib. Wild Adult Esc",9964
2000,"Atnarko Wild","MR Wild Adult Esc",NA
2001,"Atnarko Wild","Calib. Wild Adult Esc",NA
2001,"Atnarko Wild","MR Wild Adult Esc",16743
2002,"Atnarko Wild","Calib. Wild Adult Esc",NA
2002,"Atnarko Wild","MR Wild Adult Esc",8550
2003,"Atnarko Wild","Calib. Wild Adult Esc",NA
2003,"Atnarko Wild","MR Wild Adult Esc",10136
2004,"Atnarko Wild","Calib. Wild Adult Esc",8230
2004,"Atnarko Wild","MR Wild Adult Esc",NA
2005,"Atnarko Wild","Calib. Wild Adult Esc",7619
2005,"Atnarko Wild","MR Wild Adult Esc",NA
2006,"Atnarko Wild","Calib. Wild Adult Esc",9565
2006,"Atnarko Wild","MR Wild Adult Esc",NA
2007,"Atnarko Wild","Calib. Wild Adult Esc",5799
2007,"Atnarko Wild","MR Wild Adult Esc",NA
2008,"Atnarko Wild","Calib. Wild Adult Esc",5517
2008,"Atnarko Wild","MR Wild Adult Esc",NA
2009,"Atnarko Wild","Calib. Wild Adult Esc",NA
2009,"Atnarko Wild","MR Wild Adult Esc",6331
2010,"Atnarko Wild","Calib. Wild Adult Esc",NA
2010,"Atnarko Wild","MR Wild Adult Esc",5683
2011,"Atnarko Wild","Calib. Wild Adult Esc",NA
2011,"Atnarko Wild","MR Wild Adult Esc",6061
2012,"Atnarko Wild","Calib. Wild Adult Esc",NA
2012,"Atnarko Wild","MR Wild Adult Esc",2542
2013,"Atnarko Wild","Calib. Wild Adult Esc",NA
2013,"Atnarko Wild","MR Wild Adult Esc",9860
2014,"Atnarko Wild","Calib. Wild Adult Esc",NA
2014,"Atnarko Wild","MR Wild Adult Esc",11935
2015,"Atnarko Wild","Calib. Wild Adult Esc",NA
2015,"Atnarko Wild","MR Wild Adult Esc",13640
2016,"Atnarko Wild","Calib. Wild Adult Esc",NA
2016,"Atnarko Wild","MR Wild Adult Esc",9936
2017,"Atnarko Wild","Calib. Wild Adult Esc",NA
2017,"Atnarko Wild","MR Wild Adult Esc",5418
2018,"Atnarko Wild","Calib. Wild Adult Esc",NA
2018,"Atnarko Wild","MR Wild Adult Esc",5328
2019,"Atnarko Wild","Calib. Wild Adult Esc",NA
2019,"Atnarko Wild","MR Wild Adult Esc",4587
2020,"Atnarko Wild","Calib. Wild Adult Esc",NA
2020,"Atnarko Wild","MR Wild Adult Esc",9835
2021,"Atnarko Wild","Calib. Wild Adult Esc",NA
2021,"Atnarko Wild","MR Wild Adult Esc",4779
2022,"Atnarko Wild","Calib. Wild Adult Esc",NA
2022,"Atnarko Wild","MR Wild Adult Esc",5139
1975,"WCVI 14 Stream Index","Esc",NA
1976,"WCVI 14 Stream Index","Esc",NA
1977,"WCVI 14 Stream Index","Esc",NA
1978,"WCVI 14 Stream Index","Esc",NA
1979,"WCVI 14 Stream Index","Esc",3334
1980,"WCVI 14 Stream Index","Esc",7678
1981,"WCVI 14 Stream Index","Esc",6516
1982,"WCVI 14 Stream Index","Esc",7827
1983,"WCVI 14 Stream Index","Esc",3770
1984,"WCVI 14 Stream Index","Esc",5450
1985,"WCVI 14 Stream Index","Esc",4548
1986,"WCVI 14 Stream Index","Esc",4176
1987,"WCVI 14 Stream Index","Esc",3774
1988,"WCVI 14 Stream Index","Esc",6784
1989,"WCVI 14 Stream Index","Esc",7908
